Qualified for pricelist >= 2024;Code;Name;Description;LicenseDuration;MaintenanceDuration;ExpectedDeliveryTime;PaymentModel;ExpectedInvoiceDate;GrantOfRights;Profile;MandatoryOptional_ID;LicenseMethod;Cost_Center;Discount_Rate;Operational_Profit_Rate;OperationalProfitType;Perpetual;Support_Hours_Amount;UpdateRight;Apply_Withholding_Tax
;51;EB tresos AutoCore Bootloader for BMW (CAN);The Reference Bootloader can be used to update the Application of an ECU by using diagnostic communication. It integrates all bootloading relevant BMW specific system functionalities. The Reference Bootloader / BootManager are already pre-configured to update the EB tresos AutoCore Reference Application for BMW (CAN).;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;52;Domain License Maintenance (AutoCore);;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;53;SW-Assurance (EB GUIDE);;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Product related service without profile;;no technical license protection;;10;;Calculated;FALSE;;none;TRUE
;54;Customization Services Qualification;Verification if OS release is compatible with the derivatives, compiler release and toolchain. Verification of custom compiler options. No adaption of the Os source code included.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Integration Package;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;55;Customization Services Porting & Qualification;Porting of the OS to support new derivatives or compiler releases including qualification tests.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Integration Package;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;56;Training (EB FlexRay);;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Training;;no technical license protection;6400;10;;Calculated;FALSE;;none;TRUE
;57;Eth Driver - Porting to new target;Valid license of EB IP-stack and MCAL Eth driver, including stack qualification required;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Porting;;no technical license protection;6500;10;;Calculated;FALSE;;none;TRUE
;58;Development License (SourceCode);;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;59;Project License (Source Code);"The product is used for production projects restricted to one ECU project. We recognize correct use, if all of the following conditions are met:

a. The run-time software is developed for one ECU, only.

b. The ECU is used for one car platform of one OEM brand, only.

Typical use case: to develop and produce one ECU for one vehicle platform.

Production: yes; µC: derivative; Number of projects: one; Duration: perpetual";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;60;Support of Ethernet Driver (MCAL);;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Product related service without profile;;no technical license protection;;10;;Calculated;FALSE;;none;TRUE
;61;Support of additional features, training etc.;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Product related service without profile;;no technical license protection;;10;;Calculated;FALSE;;none;TRUE
;62;Evaluation / A-Sample License (Object-Code) Support & Maintenance;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;FALSE;;none;TRUE
;63;Development Maintenance (TCP/IP);#NAME?;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;64;Production Maintenance (TCP/IP);;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;65;Dongled Evaluation License (EB GUIDE);- Includes up to three seats, full featured dongle based evaluation licenses.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;50;Fix rate;FALSE;;none;TRUE
;66;Site License (EB GUIDE);"

- Basic development license";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;67;Site License Maintenance (EB GUIDE);"

- Annual fee

- Fixing of errors reported by licensee.

- Minor version updates during 12 months (including new features)

- Command Server access";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;68;0 to 100.000 units;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Product related service without profile;;no technical license protection;;10;;Calculated;FALSE;;none;TRUE
;69;100.001 to 200.000 units;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Product related service without profile;;no technical license protection;;10;;Calculated;FALSE;;none;TRUE
;70;200.001 to 500.000 units;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Product related service without profile;;no technical license protection;;10;;Calculated;FALSE;;none;TRUE
;71;500.001 to 1.000.000 units;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Product related service without profile;;no technical license protection;;10;;Calculated;FALSE;;none;TRUE
;72;more than 1.000.000 units;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Product related service without profile;;no technical license protection;;10;;Calculated;FALSE;;none;TRUE
;73;more than 250.000;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Product related service without profile;;no technical license protection;;10;;Calculated;FALSE;;none;TRUE
;74;Node Locked License, Run-time (EB Assist ADTF);#NAME?;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;ADTF Node-Locked License File;6400;10;;Calculated;TRUE;;UpdateRightByConfiguration;TRUE
;75;Node Locked License, Developer (EB Assist ADTF);"- Perpetual DEVELOPMENT LICENSE per seat;

-Includes free UPDATES to new product versions within the same primary version number for the first year.

-Includes 10h 1st Level Support

-Includes all standard toolboxes";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;ADTF Node-Locked License File;6400;10;;Calculated;TRUE;10;UpdateRightByConfiguration;TRUE
;76;Node Locked License 10 User;"

- Perpetual DEVELOPMENT LICENSE per seat:

- Includes free UPDATES to new product versions within the same primary version number for the first year.

- Includes 10 h support for the first year.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;77;Node Locked License 20 User;"

- Perpetual DEVELOPMENT LICENSE per seat;

- Includes free UPDATES to new product versions within the same primary version number for the first year.

- Includes 10 h support for the first year.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;78;Node Locked License, Development, 3 months (EB Assist ADTF);"- Per seat

- Includes free UPDATES to new product versions within the same primary version number

- Includes 3h support";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;ADTF Node-Locked License File;6400;10;;Calculated;FALSE;3;UpdateRightByConfiguration;TRUE
;79;Floating License, Developer (EB Assist ADTF);"- Perpetual DEVELOPMENT LICENSE per seat

- Includes free UPDATES to new product versions within the same primary version number for the first year

- Includes 10h 1st Level Support

- Includes all standard toolboxes";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;ADTF Floating License File;6400;10;;Calculated;TRUE;10;UpdateRightByConfiguration;TRUE
;80;Floating License 10 Users;"

- Perpetual DEVELOPMENT LICENSE per seat;

- Includes free UPDATES to new product versions within the same primary version number for the first year. 

- Includes 10 h support for the first year.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;81;Node Locked License, Development, 6 months (EB Assist ADTF);"- Per seat

- Includes free UPDATES to new product versions within the same primary version number

- Includes 5h support";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;;Calculated;FALSE;5;UpdateRightByConfiguration;TRUE
;82;Node Locked License, Development, 12 months (EB Assist ADTF);"- Per seat

- Includes free UPDATES to new product versions within the same primary version number

- Includes 10h support";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;;Calculated;FALSE;10;UpdateRightByConfiguration;TRUE
;83;Node Locked License Maintenance Extension, Developer (EB Assist ADTF);"- Per seat

- Includes free UPDATES to new product versions within the same primary version number for 12 months

- Includes 10h 1st Level Support

- Includes all standard toolboxes";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;6400;10;;Calculated;TRUE;10;TotalAmountAsUpdateRight;TRUE
;84;Node Locked License 10 User - Maintenance;"

- Includes free UPDATES to new product versions within the same primary version number for the first year.

- Includes 10 h support for the first year.";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;85;Support Package (EB Assist ADTF);- Elektrobit product-related support by phone or email. Quota valid for 12 months;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Product related service without profile;;no technical license protection;6400;10;;Calculated;FALSE;10;none;TRUE
;86;University Project License;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;87;Platform Package;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;88;Domain License;"The product is used for production projects restricted to one application domain. We recognize the following application domains:

a. Body and Comfort

b. Powertrain

c. Chassis

d. Occupants and Passenger Safety

e. Multimedia, Telematics and Human-Machine Interface

Typical use case for this license is to develop and produce ECUs for one application domain for different vehicles.

Production: yes; µC: family; Number of projects: unlimited; Duration:perpetual";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;89;Domain License Maintenance (OsekCore);"Extended maintenance per additional year;";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
yes;90;Company License for Tier 1;"The CUSTOMER gets the right to use the license under the following condition:
a. The run-time software is used for one µC family and compiler version only.
- Including MAINTENANCE (as defined on page ""Definitions"")

Additionally, the restrictions according to the LICENSE PROFILE defined on page ""Scope of license"" apply.";perpetual;12 months;FINALIZED PURCHASE PROCESS + 2 weeks;One-time payment;With FINAL DELIVERY;Reproduction and Distribution License;License;;no technical license protection;6400;10;50;Fix rate;TRUE;;UpdateRightByConfiguration;TRUE
;91;Company License Maintenance (OsekCore);Extended maintenance per additional year.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;92;Support for new Derivative/Compiler/Toolchain;Can not be ordered without project or product line license.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Product related service without profile;;no technical license protection;;10;;Calculated;FALSE;;none;TRUE
